"fishery_unit_id","country","region","trip","distance","commitment","labour","utilization","economy","disposal","ownership","size","motorization","mechanization","gear","refrigeration","total_char"
"Africa_fishery_unit178","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit179","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit180","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit181","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit182","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit183","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit184","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit185","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit186","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit187","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit188","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit189","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit190","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit191","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit192","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit193","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit194","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit195","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit196","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit197","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit198","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit199","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit200","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit201","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit202","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit203","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit204","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit205","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit206","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit207","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit208","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit209","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit210","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit211","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit212","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit213","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit214","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit215","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit216","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit217","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
